logFC	logCPM	LR	PValue	FDR
ENSG00000197549.9_3	5.005810057465	3.14404724518035	32.4907118610644	1.19763551021312e-08	0.000232556863373184
ENSG00000253239.1_2	6.30753526238234	4.17669581326162	29.3573314065455	6.01883780101288e-08	0.000455227876471727
ENSG00000185686.17_5	-4.23680496451154	-0.246442331249731	29.0555916662677	7.03308079830663e-08	0.000455227876471727
ENSG00000211669.3_3	6.17408241546221	3.71585185203897	25.7302450432552	3.9262541555346e-07	0.00166574862476351
ENSG00000211942.3_3	4.7186526959991	4.20284016043793	25.4099963118428	4.63510067587146e-07	0.00166574862476351
ENSG00000276566.1_2	-3.90585623261329	3.13640386198178	25.2079257094644	5.14702428086365e-07	0.00166574862476351
ENSG00000146453.12_4	-3.86897269808927	-0.389813519056015	23.4274860849977	1.29711893144533e-06	0.00359820791582934
ENSG00000237592.2_2	-4.73736073547601	-1.74790606251598	22.4623570607077	2.14302368290712e-06	0.00520165423433631
ENSG00000244575.3_3	-3.23426963657285	1.93173785789781	21.7800080882119	3.05769690605515e-06	0.00615103463453061
ENSG00000211650.2_2	-7.07912715537341	2.47846023649876	21.6623499259609	3.25110076107403e-06	0.00615103463453061
ENSG00000163600.12_3	3.9555471220478	-0.254662188752999	21.4111405842707	3.70611480814302e-06	0.00615103463453061
ENSG00000224607.4_2	-3.5981159844192	1.50421350718158	21.3625527974288	3.8012367707471e-06	0.00615103463453061
ENSG00000105538.9_3	-3.77377554853608	-1.89422183236746	20.5740185374165	5.73694501213294e-06	0.00856923063427673
ENSG00000211673.2_2	-3.64997475611406	5.35119498009218	20.3927189582735	6.30693001612684e-06	0.00874771193236793
ENSG00000211639.2_2	-4.4686244589437	-1.62437860049217	19.9330755532922	8.02007553895128e-06	0.00934013818171652
ENSG00000137968.16_2	-3.92913534202478	-2.27231495112654	19.898858095995	8.16490793799425e-06	0.00934013818171652
ENSG00000256377.5_4	-1.73206696268526	-1.9993171373913	19.896012482747	8.17707019719749e-06	0.00934013818171652
ENSG00000232747.2_2	-3.3614326320984	-1.68598942444284	19.4665471982703	1.02377053640681e-05	0.0110442090421931
ENSG00000126890.13_2	7.9025952760311	-1.78257672647604	19.1574448535318	1.20367108988717e-05	0.0123015185386469
ENSG00000253936.1_2	-3.7573510906816	-2.80998384717483	18.6255696572388	1.59072631607551e-05	0.0154443618027772
ENSG00000211937.3_3	-4.46058823786395	4.26797218001744	18.1227072411336	2.07116747371128e-05	0.0191513952402503
ENSG00000164756.12_4	-5.73816357354943	-2.49976394254001	17.8021687813309	2.45103702044522e-05	0.0216337440286388
ENSG00000253497.1_2	-3.36493253205815	3.11814730183554	17.6912479418962	2.59819303292298e-05	0.0219355270927385
ENSG00000173898.12_3	1.89503056596774	-0.472996186172561	16.946972657613	3.84385674343566e-05	0.0311000042683473
