logFC	logCPM	LR	PValue	FDR
ENSG00000144810.15_2	-5.14787418070901	-2.19531463418675	28.2018217538822	1.09301644066829e-07	0.00176861770545432
ENSG00000256128.5_3	-5.27373866982332	-1.24673115981471	27.2137061650561	1.82162705268753e-07	0.00176861770545432
ENSG00000107562.16_2	-3.82734836472324	2.00178182681385	25.9342482103631	3.53246071243218e-07	0.00204556145716084
ENSG00000089847.12_4	-2.33774748398738	0.267048709371399	25.5938774492904	4.2137428306949e-07	0.00204556145716084
ENSG00000160183.14_3	-3.96196295899126	1.76743849617591	23.7331891856805	1.10657704345564e-06	0.00363535620129024
ENSG00000256357.1_4	-4.5478016903904	-2.75669593024269	23.704330836723	1.12329473724078e-06	0.00363535620129024
ENSG00000266844.1_4	-2.61745458341648	-1.22407165644268	22.5870016107968	2.00838835925894e-06	0.00557126930858429
ENSG00000166664.13_3	-5.28502673350044	-3.11073440078401	21.6090580690045	3.34269456431369e-06	0.00690548376728423
ENSG00000104951.15_3	-2.11607225592658	6.32861695510287	21.5476946051694	3.45137325263952e-06	0.00690548376728423
ENSG00000128683.13_3	-3.37122941309204	-0.728696861843867	21.4903009127579	3.55622812199208e-06	0.00690548376728423
ENSG00000170054.14_3	-4.21974575925891	0.4565960279959	21.209603080131	4.11696563984453e-06	0.00726756716313646
ENSG00000175344.17_4	-5.21507214203255	-3.64470427099586	20.9081832316116	4.81831811473155e-06	0.00779684176265476
ENSG00000112874.9_2	6.81367985385333	2.0941874986133	20.3345313285694	6.50165653573256e-06	0.00971147435468115
ENSG00000109667.11_2	-2.81719595225411	-1.22284406557199	18.2042948229874	1.98430865606524e-05	0.026579304957914
ENSG00000165953.9_2	-5.00007565598482	-2.58296655734469	18.1393024969664	2.05319587171032e-05	0.026579304957914
ENSG00000251301.6_5	-2.78708621636983	1.87539713051208	17.4954874452058	2.87990423581976e-05	0.0349512377819676
ENSG00000134243.11_3	-3.07798245829273	1.61163250077904	17.1475240614233	3.45859947324384e-05	0.0395053438655582
ENSG00000166199.12_3	1.57933510939563	3.28471304368128	16.8795100787383	3.98292215396498e-05	0.0429668791031622
ENSG00000211961.3_2	-6.29103256869324	-0.30981514183624	16.7168346742258	4.33942204009147e-05	0.0443488932497348
ENSG00000109684.14_2	5.24918466584855	2.31315994493791	16.4203585439009	5.07373601859447e-05	0.0492609030045338
