logFC	logCPM	LR	PValue	FDR
ENSG00000203989.4_2	-9.58433661426814	-0.206146571775052	235.458433972374	3.84599187077625e-53	7.46814701467333e-49
ENSG00000138829.11_4	-4.06286926601772	-2.25135189427914	47.3179579903902	6.03567182606494e-12	5.86003377592645e-08
ENSG00000115590.13_2	-2.72086811287227	0.504898773216291	42.2532976915259	8.01846893860121e-11	5.19008766165861e-07
ENSG00000150625.16_3	-3.37637714899913	-0.629990619472495	39.5640132586691	3.17480072481567e-10	1.54120701186177e-06
ENSG00000119547.5_3	-3.49649675568338	-2.89733235573593	38.5926322485117	5.22156616925306e-10	2.02784743749112e-06
ENSG00000253293.4_3	-4.3108939091678	-3.32181654007218	35.0059693846924	3.28696107211871e-09	1.06377016830668e-05
ENSG00000211890.3	-4.58277796558147	6.69377639298237	33.9919842122609	5.53395858428741e-09	1.53512011128133e-05
ENSG00000198794.11_3	-2.1421971622756	1.77944420755737	33.3658309053797	7.63537429567107e-09	1.68064590102575e-05
ENSG00000261704.2_2	-5.09888157494498	0.989298242269756	33.3269449029441	7.78958343250168e-09	1.68064590102575e-05
ENSG00000176165.10_3	-3.38060421696403	-3.92409322919041	32.4709472570972	1.20987783746758e-08	2.34934078479455e-05
ENSG00000136250.11_5	-2.82873039858132	-2.25034089879994	31.6930747735797	1.8056491974948e-08	3.18746328335946e-05
ENSG00000211673.2_2	-4.31725523690343	6.83246262968647	28.4361476830463	9.68401815018522e-08	0.000156703553700247
ENSG00000013297.11_4	-3.78667095788461	-2.8454284198697	26.3248926878293	2.88545595487311e-07	0.000430998336397893
ENSG00000253703.2_2	-4.70446276310247	-1.67453346136223	25.553790443209	4.30220063536903e-07	0.000596715228125684
ENSG00000197959.13_4	-2.19073423652999	-1.64940083645312	24.2409300999534	8.50064408625041e-07	0.00103503978130842
ENSG00000135144.7_2	-2.21901372534582	2.73065968511618	24.2346294980166	8.5284975285481e-07	0.00103503978130842
ENSG00000078399.17_3	-4.78426564200571	-3.96630346211025	23.9180309757485	1.00525800299393e-06	0.00114824117071389
ENSG00000108381.10_3	-2.25991037497444	-1.68694896799989	23.2128908895693	1.45021948715981e-06	0.00156446455564829
ENSG00000211676.2_2	-3.31466265242179	3.72170426470669	22.7258759101909	1.86834954886747e-06	0.00190945323894256
ENSG00000168938.5_2	-2.27748615464015	-1.24824314753877	20.1122175356314	7.30286773874461e-06	0.00709035428754714
ENSG00000122592.7_4	-4.13793685800375	-3.88709186324223	19.9924525234068	7.77484401526404e-06	0.00718913909944748
ENSG00000179820.15_3	1.68293524161222	3.76031475431455	19.8633045028909	8.318178217291e-06	0.00734192657378894
ENSG00000106689.10_3	-2.26429606821387	-0.194464721636074	19.0389591500853	1.28076651108922e-05	0.0108130104836219
ENSG00000168734.13_2	-0.920916166742617	3.30796074163427	18.8370355536719	1.42375520402292e-05	0.0115193660632155
ENSG00000101384.12_3	-1.32079081917012	2.57361691902663	18.3296531984482	1.85792624956902e-05	0.0144308847656525
ENSG00000247157.6_3	-1.74612429085797	-1.5526993405005	16.118547519941	5.94984708149161e-05	0.0426067676836327
ENSG00000053918.16_4	-1.9073024649531	-1.07868064237892	16.0037512675816	6.32171003960332e-05	0.0426067676836327
ENSG00000146038.11_2	-2.92014697311389	-2.17754182768798	16.0030092568659	6.32418817204726e-05	0.0426067676836327
ENSG00000143194.12_2	-2.61734632983556	-2.76666938474994	15.9700581718096	6.43522742408077e-05	0.0426067676836327
ENSG00000011600.11_2	-2.61289711433006	-1.94262094482414	15.9272066997864	6.58256787778855e-05	0.0426067676836327
ENSG00000055957.10_2	-2.07553578485407	-0.0660568203636567	15.6419447882283	7.65378980669111e-05	0.0479423517633316
ENSG00000104490.17_3	-1.18993302532345	4.41050598961113	15.5505862674593	8.03267344502938e-05	0.0487432665486189
