logFC	logCPM	LR	PValue	FDR
ENSG00000173585.15_2	-7.664807717652	-1.19699374046188	73.8058376538585	8.61913241559774e-18	1.67366313246077e-13
ENSG00000105538.9_3	-5.10893464196837	-2.09210467540931	69.6962138626028	6.91787651655773e-17	6.7165663099259e-13
ENSG00000145824.12_2	-4.7082511337662	-1.60673393402119	56.4735846108544	5.6958431618461e-14	3.68672941722425e-10
ENSG00000138759.18_3	-3.90372140316824	-2.80871339104381	49.6680823907552	1.82084138323659e-12	8.83927449492201e-09
ENSG00000211669.3_3	-6.12543449067372	3.53786269662783	45.6557858147144	1.40969069161081e-11	5.47467476993973e-08
ENSG00000112769.18_3	-5.40335073016498	-2.88327770354991	29.7466744108773	4.9235017651084e-08	0.000159340928791458
ENSG00000211650.2_2	-7.29540565859512	2.25958732918535	26.9800803435381	2.05563018427144e-07	0.000570231813116896
ENSG00000146938.15_4	-3.31911796418042	-2.25864138734027	26.5337775577105	2.58970246082412e-07	0.000628585529803535
ENSG00000211647.1_2	-5.42570420879659	-1.75430749649185	23.7193465892904	1.11456471580563e-06	0.00225577699026604
ENSG00000273962.1_3	-3.7719888009393	-0.717696699544864	23.6396442998869	1.16169378425484e-06	0.00225577699026604
ENSG00000163818.16_3	-1.87954476155826	0.840682086814533	23.3606167927086	1.34300199595092e-06	0.002370764796125
ENSG00000167634.12_3	-2.19364738599549	-0.489835653352589	22.2145810016632	2.43815141266727e-06	0.00394533534426443
ENSG00000254329.1_2	-4.10433396201383	-3.86701590998047	21.0117270127736	4.56480761765559e-06	0.00681841802458741
ENSG00000129009.12_3	-2.84432053111849	-3.48182066673323	20.1744126384697	7.06922361949286e-06	0.00980501316023659
ENSG00000211935.3_2	-2.76267829435492	1.96696335232936	19.9411200447983	7.98640173040667e-06	0.0103386632534024
ENSG00000271620.1_2	-3.62125561374683	0.493922118770163	18.868763005943	1.40026935825804e-05	0.016782851599379
ENSG00000253191.1_2	-4.30035527384536	-3.10255903188581	18.7769803584209	1.469298986453e-05	0.016782851599379
ENSG00000080573.6_2	-2.27076100335827	-1.91546767612928	18.2060979472292	1.98243094016257e-05	0.0213860244422649
ENSG00000240382.3_3	-3.21386893769192	3.5005069037425	16.5752856390172	4.67563753334919e-05	0.0477850155908287
