logFC	logCPM	LR	PValue	FDR
ENSG00000113389.15_4	-2.49604901108913	-2.7950745475888	85.4231928756786	2.408786608151e-20	4.67738183570761e-16
ENSG00000200434.1	3.06837143851211	3.62328902978918	83.5496735230794	6.21349021508768e-20	6.03267764982863e-16
ENSG00000135218.17_3	-4.16874206899441	-2.22657392700235	70.5640020781557	4.45573810647593e-17	2.88405075171832e-13
ENSG00000078114.18_3	2.94907461888186	-2.22758506938255	58.6686572737627	1.86590338047523e-14	9.05802796051701e-11
ENSG00000137573.13_3	-3.40764585591973	-2.36451826224557	57.6020439238371	3.20891969647137e-14	1.24621605332162e-10
ENSG00000251705.1	2.40679972747717	4.62216354972333	56.7843674805806	4.86316999462844e-14	1.39653217238428e-10
ENSG00000144820.7_3	-3.24031764736258	-1.99328091735873	56.7163344937758	5.03436255365639e-14	1.39653217238428e-10
ENSG00000211946.3_2	-2.09573125897709	3.00833352314207	47.0523567650354	6.91155006798684e-12	1.67760599025211e-08
ENSG00000269900.3_2	2.19296677288223	0.0154661436591689	41.2770490947188	1.32110978141985e-10	2.85036774840119e-07
ENSG00000184357.4_2	1.56742921953726	-1.45795505270667	40.3578513994336	2.11453962608015e-10	4.10601304592244e-07
ENSG00000148680.15_3	-3.19120029872968	-4.17682433273385	38.9047462514217	4.44997353137358e-10	7.67660708549286e-07
ENSG00000114541.14_3	-1.41220344115809	-0.450509849697176	38.7798429699218	4.74401509042714e-10	7.67660708549286e-07
ENSG00000264940.4_2	1.19021152144624	0.235030881485592	36.2686719310657	1.71905093383179e-09	2.56773315639583e-06
ENSG00000034971.16_3	5.85960043528868	-2.25209166961248	36.072666035201	1.90094718610109e-09	2.63661374712221e-06
ENSG00000263934.4_2	1.39472541651822	0.730146521210506	34.080793679684	5.28705493445249e-09	6.84426884781323e-06
ENSG00000272620.1_4	-1.60611625990022	-1.00574369829394	31.3252960203509	2.18217768905908e-08	2.64834539788432e-05
ENSG00000044524.10_2	-2.5613456733599	-3.41414019406089	30.8649230310887	2.76626745121018e-08	3.15972831574113e-05
ENSG00000124575.6_2	0.9647403586301	-1.17732162056099	30.719492306914	2.98154814005975e-08	3.21642787687112e-05
ENSG00000176204.13_3	-5.16298409305754	-3.54337363421883	30.2562958526643	3.78560436739331e-08	3.86888766347597e-05
ENSG00000179639.10_2	-3.06278376855492	-3.87608556322058	29.639427874377	5.2035659091846e-08	5.05214214122732e-05
ENSG00000211652.2_2	2.81569892311402	3.07174707902368	28.4959845150834	9.38930154032911e-08	8.65694274875623e-05
ENSG00000211904.2_2	-2.12678926532329	1.43369275940644	28.4115087455768	9.80805131695525e-08	8.65694274875623e-05
ENSG00000206588.1	1.57603198461621	0.546187958230489	27.8418172999484	1.31649671514929e-07	0.00011114666615117
ENSG00000283907.1_3	1.11858831160376	7.7321548789709	27.2013150178392	1.83333934949471e-07	0.000148332431202035
ENSG00000274267.1_2	1.46060756091345	-2.23100767161036	25.6875103692645	4.01416571456351e-07	0.000311788279381577
ENSG00000134215.15_2	-1.36914764000657	-2.25800215927928	23.9688451020435	9.79072405868874e-07	0.000731216460660069
