logFC	logCPM	LR	PValue	FDR
ENSG00000078114.18_3	-4.19535932213928	-2.22759513418026	149.855167694491	1.86473329695758e-34	3.62093911603223e-30
ENSG00000187268.11_4	-3.55043879062641	-1.53139013758827	104.512641076933	1.56193721976455e-24	1.5164848466694e-20
ENSG00000253998.3_2	4.21919094314488	3.18138523731448	88.1006603470278	6.22068572116985e-21	4.02644251112254e-17
ENSG00000141668.9_2	-4.25921963849212	-2.40391449276487	83.1465785554834	7.61891199084891e-20	3.6986008259576e-16
ENSG00000128849.10_2	-1.69972185257461	-1.17917022752802	82.1344492708535	1.27137237676671e-19	4.93750176241118e-16
ENSG00000140955.10_3	2.29354659675212	-2.50748683577217	79.3480798720391	5.20768300388702e-19	1.6853798094913e-15
ENSG00000241566.1_2	-3.95773386769801	1.5128858287229	75.5380752070793	3.58428095824034e-18	9.94279537815871e-15
ENSG00000067798.15_4	-2.35509257063315	-3.37383040711958	74.4404872535424	6.24940944664862e-18	1.51688790793779e-14
ENSG00000198930.12_2	-2.47814216772296	-3.6148292921911	59.0095415372723	1.56909251889674e-14	3.38540428132633e-11
ENSG00000144820.7_3	-3.25175086016584	-1.99326194775963	57.0008936589745	4.35613908261473e-14	8.45875087062129e-11
ENSG00000178568.14_4	-3.74706410697033	-2.78285191379896	56.4918014839111	5.64331807257233e-14	9.96199548483723e-11
ENSG00000121570.12_4	-1.5917841089673	-3.18172006350048	54.1691947818206	1.83948159144248e-13	2.97658779521917e-10
ENSG00000007174.17_4	-2.53099140658852	-3.69794229517326	52.344538805126	4.65691833145176e-13	6.9560030892408e-10
ENSG00000147724.11_3	-2.13287353633001	-3.02247572081568	48.9732892591514	2.59472013180435e-12	3.59887682281264e-09
ENSG00000152953.12_2	-2.32284639829577	-1.10275997466361	48.5728170768126	3.18249966439742e-12	4.1198518988846e-09
ENSG00000137872.16_4	-2.56972451816653	-3.7197440369543	46.3714769341804	9.78292948857333e-12	1.18728078005698e-08
ENSG00000124749.16_4	3.90305274375746	-3.57314077379573	45.9187372198313	1.23261351959411e-11	1.40793466608697e-08
ENSG00000187122.16_3	-1.12711169729325	-0.920626322965035	45.6976942749826	1.37985099187035e-11	1.48855258667435e-08
ENSG00000140937.13_3	-2.23264752703224	-2.66909925068979	44.1780159373267	2.99829722704466e-11	3.06425976603964e-08
ENSG00000241294.1_2	-2.55173529742444	3.46791496081613	43.5965962638634	4.0354031060975e-11	3.91797287571006e-08
ENSG00000211946.3_2	2.0608786031152	3.00833215733245	42.210182087875	8.19721153993421e-11	7.5796882705925e-08
ENSG00000112276.13_2	-1.45123191938204	-2.40899693398488	40.3117261797319	2.16505582209219e-10	1.91095699788119e-07
ENSG00000211942.3_3	-1.95651770402207	2.60087408045696	39.5836220989937	3.14308208834961e-10	2.6535812170249e-07
ENSG00000135218.17_3	-3.01649751726857	-2.22656894247417	38.058857773328	6.86423780764696e-10	5.55374040620369e-07
ENSG00000136999.4_2	-2.07431739180096	-2.63150499329656	37.955415153629	7.23798955854128e-10	5.62189124991019e-07
ENSG00000259867.5_5	-2.7531108625447	-4.14465891955109	37.6275552979188	8.56262844710541e-10	6.39496612253434e-07
ENSG00000137809.16_4	-1.18964863551661	-2.14546678593627	36.8310454366133	1.28822453719319e-09	9.26472002341385e-07
ENSG00000134198.9_2	-1.96380740019246	-3.63527375887294	36.0658329552109	1.90762478347883e-09	1.32293778734257e-06
ENSG00000253239.1_2	-2.29256472988371	1.41221188007259	33.5673974642448	6.88369085019097e-09	4.60922444582787e-06
ENSG00000254098.1_2	2.20850409044448	0.469235596120073	32.0388329470874	1.5112129217431e-08	9.7815775048025e-06
ENSG00000134343.12_4	-1.76968770013382	-1.36795219720718	31.6481300863524	1.84792443653085e-08	1.15751602285664e-05
ENSG00000279778.1_4	-2.63014295532594	-4.29522918000553	30.535473380401	3.27817275220191e-08	1.94137512428665e-05
