logFC	logCPM	LR	PValue	FDR
ENSG00000078114.18_3	-4.18574117767125	-2.22760887248661	206.530493513845	7.84952156376387e-47	1.52422009725167e-42
ENSG00000259823.5_1	-3.52945032151115	-3.86331059365337	84.8732325018075	3.18120805801265e-20	3.08863490352448e-16
ENSG00000121570.12_4	-1.80295877186269	-3.18172116648292	70.7291885472304	4.09784554999875e-17	2.38625483253058e-13
ENSG00000113389.15_4	-2.10437758449293	-2.79507125331574	70.3702557710806	4.91555223510265e-17	2.38625483253058e-13
ENSG00000147724.11_3	-2.21178117906732	-3.02248230466527	59.8292934941451	1.03452056184163e-14	4.01766405396814e-11
ENSG00000187268.11_4	3.36347342445826	-1.5313766636236	53.1391962929213	3.1072976270395e-13	1.00562508869755e-09
ENSG00000034971.16_3	-4.67528728101247	-2.25195793932241	48.6662036646763	3.03450778859803e-12	8.41772460557094e-09
ENSG00000211942.3_3	-2.05408390191056	2.60087423528467	47.5493664114564	5.36360913907953e-12	1.30188202828308e-08
ENSG00000108702.3_2	-2.36938487921066	-2.28100767993924	45.8176112672265	1.29791421794891e-11	2.80032203157021e-08
ENSG00000197565.15_4	-1.9955496904638	-3.61065115681754	43.5361455551113	4.1620037299875e-11	8.03875714451725e-08
ENSG00000203989.4_2	3.82516681529563	-2.43831928679629	43.3600843645018	4.55383296887886e-11	8.03875714451725e-08
ENSG00000283906.1_3	-1.98395404558941	-0.677692575994355	42.0797122535655	8.7627592010501e-11	1.41796048471659e-07
ENSG00000087250.8_2	-1.95569737639336	-2.95611185040654	40.6687286343896	1.80350368357408e-10	2.69387957904934e-07
ENSG00000186081.11_4	-2.25525431751781	-2.6562321439643	39.7217095615757	2.92852053095783e-10	3.87444063677016e-07
ENSG00000253191.1_2	-2.34482508174158	-3.03027527491123	39.679224212626	2.99292458294121e-10	3.87444063677016e-07
ENSG00000283683.1_4	-1.86075909283666	-3.36345239348684	37.2404423643653	1.04425531114944e-09	1.26733435199374e-06
ENSG00000263413.1	-2.04037629695794	-4.25336413292323	36.6171364879786	1.43762335986373e-09	1.64210414128434e-06
ENSG00000113916.17_3	-1.35477704341039	-2.45437691854596	34.5202860076744	4.218320283512e-09	4.55063018140201e-06
ENSG00000206077.10_2	-1.07405335218753	-2.26267199710225	33.7916628946392	6.13411782599718e-09	6.26906841816912e-06
ENSG00000223350.2_2	-2.55574579715663	2.38646241690314	33.1686915000496	8.45001826532282e-09	7.89104675472694e-06
ENSG00000135218.17_3	3.41375196037295	-2.22656214101019	33.1494760709885	8.53393664894766e-09	7.89104675472694e-06
ENSG00000139364.10_5	-1.77952058825949	-1.7647471737128	32.6612529170566	1.09702448577151e-08	9.68273702941415e-06
ENSG00000211664.3_3	-1.93948071067545	2.56151079628537	32.2949339496531	1.32458232856282e-08	1.11829302852317e-05
ENSG00000013725.14_2	-0.820233240194288	0.349230688625203	31.6474604568242	1.84856173299432e-08	1.49564048880349e-05
ENSG00000172572.6_3	-2.79215269879255	-3.96485962236186	31.1681265038513	2.36619485028906e-08	1.83787086411652e-05
ENSG00000116824.4_2	-2.22578205345723	-2.47813613615076	29.4665219873135	5.6890970970464e-08	4.24888028578642e-05
ENSG00000130649.9_3	-1.29634259558352	-0.960369754995736	28.7600829475742	8.19222954695614e-08	5.8917301238072e-05
ENSG00000119698.11_2	2.12705140294119	-1.06654341135746	27.6309716610471	1.4680915936068e-07	0.000101812152016632
ENSG00000200434.1	1.76324937759747	3.62328499558392	27.1801393440073	1.85352987826029e-07	0.000123862046038227
ENSG00000253998.3_2	2.81110899197971	3.18138531782519	27.0291839711708	2.00406757274678e-07	0.000123862046038227
ENSG00000176641.10_4	-1.80413379728236	-3.09547126488492	27.0009560175451	2.03354858461194e-07	0.000123862046038227
ENSG00000170558.8_3	-1.38051424027994	-0.895313587587684	26.9937049882092	2.041191406542e-07	0.000123862046038227
ENSG00000156234.7_2	-2.00461013897587	-1.63208063035706	26.6870322003527	2.39221630910683e-07	0.00014076380694011
ENSG00000145431.10_3	3.19237675760578	-3.2757901236058	25.4813793942781	4.46673160146297e-07	0.000255102924227082
ENSG00000120885.21_4	1.37400779624491	-0.958415526234877	25.3960749332688	4.66867067682196e-07	0.000259017849150082
ENSG00000136999.4_2	2.03379422314487	-2.63149162147421	25.2027428464901	5.16087476321066e-07	0.000278371850422291
ENSG00000134769.21_5	1.17347125532569	-2.38070907525879	24.7252791433887	6.61113346697733e-07	0.000346959431518286
ENSG00000196433.12_4_PAR_Y	-1.30379941469501	-1.08044668123817	23.8355484946684	1.04926668049988e-06	0.000536175273735437
ENSG00000211959.2_3	-1.40873302256909	5.28212104078461	23.7060933375478	1.12226649347154e-06	0.000558773609493088
ENSG00000111728.10_3	1.46126288455037	-2.43282333009462	23.3430573574479	1.35531813586818e-06	0.000657939189057209
ENSG00000269900.3_2	1.69193000717519	0.0154389450564571	22.8824419087441	1.72217843644077e-06	0.00081564050923919
ENSG00000125255.6_2	1.60352171187202	-1.31599737998624	22.6418281775846	1.95188613814455e-06	0.000902422024535499
ENSG00000164904.17_4	0.875044234982878	1.21645504599399	22.5000803068802	2.10134810444117e-06	0.000948929709117176
ENSG00000106484.15_3	0.856496185681297	1.84988763544272	22.0907827055524	2.60055433806268e-06	0.00114767191219321
ENSG00000278196.3_3	-1.3633858687539	5.19912836255854	21.8429896027405	2.95895686158044e-06	0.00125090978194273
ENSG00000251400.1_3	0.860829132007305	1.3307808274274	21.8401589144095	2.96332526364021e-06	0.00125090978194273
ENSG00000249072.1_4	1.00165105419474	1.40724305203187	21.7209199666983	3.15333701894902e-06	0.00130279783476494
ENSG00000185686.17_5	1.31308177896147	-1.48530890450669	21.6461808247579	3.27862159161467e-06	0.00132633904304112
ENSG00000143185.3_2	1.39624340968997	-1.14362660739618	21.3539955446815	3.81824156585681e-06	0.00151311458624097
ENSG00000162992.3_3	2.41818431666284	-2.68416274562148	20.506739010215	5.94216743506024e-06	0.00230770014508
ENSG00000270823.1_4	1.26235901443683	-1.32696222946149	20.4315465778354	6.18025940545992e-06	0.00235310347323962
ENSG00000161243.8_4	-0.798178694949616	-0.359494330585165	20.3771932267063	6.35830734030773e-06	0.0023743386910403
ENSG00000128849.10_2	0.990603836750651	-1.17916365771875	20.3375990023936	6.4912413891024e-06	0.00237824387346397
ENSG00000211654.2_2	-2.33401208593058	0.621426199239304	20.2611167780123	6.75597502791751e-06	0.00242939857577967
ENSG00000140955.10_3	1.34034513142171	-2.50747535046345	20.2240613510085	6.88810865741007e-06	0.00243187807108343
ENSG00000140937.13_3	1.80065057598509	-2.6690959295382	19.961856841777	7.90025167168735e-06	0.00273941226715759
ENSG00000141668.9_2	2.66812236710378	-2.40390018466312	19.857613159243	8.34298020909477e-06	0.00284217525789828
ENSG00000253906.1_2	-2.02286007979568	-3.4869777154636	19.8042408550244	8.57921165610955e-06	0.00287226089548854
ENSG00000158528.11_3	-1.38155306702394	-3.56200314857529	19.6904847583975	9.10536188531365e-06	0.00299674435744103
ENSG00000168843.13_3	2.63462296703541	-2.697654514359	19.6250312194676	9.42266168602257e-06	0.00302645245338995
ENSG00000188153.13_4	-1.42841878978151	-2.22431534267426	19.6079367541102	9.50734368404505e-06	0.00302645245338995
ENSG00000198930.12_2	1.81883241475898	-3.61482201803626	19.3028385415619	1.11540406005439e-05	0.0034933735545381
ENSG00000125845.6_3	1.17280124092258	-0.602699710400983	18.7801926490869	1.46682626466341e-05	0.00452108450908479
ENSG00000144935.14_3	0.770380026621902	-0.226931661751302	18.7023400191272	1.52794863539789e-05	0.00458595866232508
ENSG00000103310.10_3	-1.29117538035172	-3.16461028948506	18.6934261356225	1.53510821429154e-05	0.00458595866232508
ENSG00000137872.16_4	1.92039949939837	-3.71974374995937	18.4925596280564	1.70568878560608e-05	0.00501834315740891
ENSG00000253780.1_2	-3.2891355885602	-3.99783375741044	18.442039751201	1.75150934355847e-05	0.00507624006465947
ENSG00000253822.1_2	3.05228975889395	-1.19978211634194	18.4107986657435	1.78046107548567e-05	0.00508426370055599
ENSG00000163625.15_3	1.12529062827855	-2.04583318597486	18.2507763137829	1.9364701053635e-05	0.00544961978347079
ENSG00000119888.10_2	-1.30148841237828	-3.07006465631616	18.1404243472577	2.05198664793512e-05	0.00569221096137201
ENSG00000149948.13_4	2.41031693297566	-2.31359497149129	18.0741484233303	2.12466651751923e-05	0.00581081330101246
ENSG00000137573.13_3	2.37251555061562	-2.36452906813797	17.9632984483009	2.25205490685822e-05	0.00607366696963513
ENSG00000179163.11_2	-0.363397157138089	3.93474466055213	17.9151491197741	2.30975244494831e-05	0.0061439415035625
ENSG00000211933.2_2	-1.37907419778269	3.37217391644022	17.8588164703159	2.37914435336145e-05	0.00623649857343874
ENSG00000248508.6_3	-0.197852712627321	1.18691029492326	17.816419986699	2.43274758921522e-05	0.00623649857343874
ENSG00000117069.14_2	-2.16533615582896	-4.16316169904251	17.7947919956893	2.46055829599475e-05	0.00623649857343874
ENSG00000183166.10_2	-1.80240345370822	-3.10377571579573	17.7636437795931	2.50117304116053e-05	0.00623649857343874
ENSG00000166831.8_2	0.85157965098446	2.09957588686898	17.7396691539058	2.53289223585396e-05	0.00623649857343874
ENSG00000100453.12_3	-1.36537325098315	-2.34171901910933	17.7363982711796	2.5372509388282e-05	0.00623649857343874
ENSG00000146282.17_3	-0.11310758250493	3.88409902439513	17.6448365458271	2.6623708289508e-05	0.00646223959457084
ENSG00000243264.2_4	-1.57649424209984	2.04165974693511	17.5052090404342	2.8652159065684e-05	0.00686873610786979
ENSG00000169429.10_3	-0.739163302336189	0.199327096702031	17.44407645243	2.95884854110932e-05	0.00700669767942205
ENSG00000116299.16_2	1.01161245577449	-1.22985617081178	17.3681810087281	3.07938298126292e-05	0.00720427213616425
ENSG00000214019.2_4	-0.126837777316075	3.93208128899727	17.1539411681121	3.44693476368177e-05	0.00789899388033898
ENSG00000099377.13_3	-0.414896440681325	-0.798976836825743	17.1480229408487	3.45769121345562e-05	0.00789899388033898
ENSG00000112902.11_3	1.62497108843318	0.00276425908308567	16.9296029028289	3.87918873206483e-05	0.00875884730223661
ENSG00000249568.1_4	3.3670041105525	-1.84225988569576	16.8183340150524	4.11339727798766e-05	0.00918091360275453
ENSG00000183421.11_2	0.913856680045408	-0.320103652822888	16.6544987990123	4.48438255551562e-05	0.00989519777988662
ENSG00000144820.7_3	1.95920464485289	-1.9932360573977	16.6215440762116	4.56297521693236e-05	0.00995548907442613
ENSG00000107736.20_3	-0.573257811693186	-1.40707513219239	16.4709272109724	4.94018313434255e-05	0.0106587195669626
ENSG00000211925.1_2	-1.29047012410152	-3.70732623747027	16.3949411219594	5.14222895643135e-05	0.0109727254808774
ENSG00000215177.3_2	-2.60314594111789	-1.67234579698362	16.3707047580767	5.20840508742182e-05	0.0109931315203866
ENSG00000101210.11_3	-0.942904733596533	1.89502273325158	16.1685597156379	5.79479730750577e-05	0.0120992875394782
ENSG00000126822.16_4	0.856366440095691	-0.384225485472629	16.1480938088879	5.85774922164209e-05	0.0121006142963666
ENSG00000251705.1	1.28217031716561	4.62216181855708	15.9812889205407	6.39716325062739e-05	0.0130758016842824
ENSG00000127074.14_2	0.936522612688097	1.24074908134365	15.8628791249602	6.81014729266398e-05	0.0137630399363439
ENSG00000148513.17_3	4.2984100590435	-3.52752587562201	15.8449046498119	6.87514097139437e-05	0.0137630399363439
ENSG00000211890.3	1.57123060715322	4.88694351986588	15.7086256393096	7.38864601318396e-05	0.0146400743146945
ENSG00000227279.1_4	-1.35611499078546	-3.7870915993733	15.6516672430202	7.6145422269427e-05	0.0149352708043205
