logFC	logCPM	LR	PValue	FDR
ENSG00000187268.11_4	4.25518540620042	-1.53140262191821	156.733596579254	5.85278954556523e-36	1.13649467395786e-31
ENSG00000135218.17_3	5.07499432795524	-2.22657524607157	140.305119934264	2.28292459492622e-32	2.21649148921387e-28
ENSG00000067798.15_4	2.64592140807508	-3.37383543604798	86.7103055691032	1.25640403275272e-20	8.13228450266413e-17
ENSG00000128849.10_2	1.59201103020802	-1.17917631436985	68.6928997798549	1.15054418897296e-16	5.58531676536923e-13
ENSG00000187122.16_3	1.37815276715723	-0.920630424699836	67.9958548179682	1.63839599621672e-16	6.36287469090723e-13
ENSG00000253998.3_2	-4.26875629965661	3.18138516273249	62.2888559566107	2.96598740523111e-15	9.59892390579629e-12
ENSG00000203989.4_2	-4.34028648858081	-2.43831872936944	59.7896531806461	1.05556839495144e-14	2.92814672759531e-11
ENSG00000046889.18_3	3.64946022336988	-2.78424215310432	55.3409808439906	1.01333757740191e-13	2.45962363474879e-10
ENSG00000119888.10_2	2.33648637297384	-3.0700767823915	53.0105387967791	3.3176354778197e-13	7.1579828564781e-10
ENSG00000167613.15_3	2.91173650899181	-1.60590858229973	49.9714152325084	1.56002125235582e-12	3.02924926782454e-09
ENSG00000198930.12_2	2.40751804293331	-3.61483603445676	49.2640900924761	2.23720623465618e-12	3.94927915132306e-09
ENSG00000211978.2_2	1.34653074087468	1.92915848821485	48.4073426418091	3.46269222501606e-12	5.60321313544683e-09
ENSG00000136002.18_4	1.50958478608703	-2.30024377078834	46.8081756304242	7.82861355791167e-12	1.16935398513484e-08
ENSG00000200434.1	2.05749623737096	3.62328948104685	44.7860697999753	2.19780736788866e-11	3.04835881926158e-08
ENSG00000151240.16_2	1.24705925205484	-0.851497339980515	44.0195472355546	3.25112829937526e-11	4.20869395448458e-08
ENSG00000230873.8_2	3.70420400575007	-3.08195489444712	42.6148194814546	6.66524878942399e-11	8.08911256206469e-08
ENSG00000134198.9_2	2.21219042559511	-3.6352771878141	41.391071304909	1.24625317749771e-10	1.42351436474414e-07
ENSG00000115009.12_3	1.57151179768064	-0.653008780141141	40.7983809807237	1.68772858390498e-10	1.82068409123705e-07
ENSG00000095397.13_4	1.46993166292495	-0.764160571997608	39.684902494758	2.98423538899664e-10	3.04988856755456e-07
ENSG00000140937.13_3	2.10119286209121	-2.66910232885192	39.2246578501134	3.77739496699608e-10	3.66747277345649e-07
ENSG00000178568.14_4	3.086762995889	-2.78284940841923	36.986333263052	1.18960150698683e-09	1.09008444338224e-06
ENSG00000138829.11_4	-2.18651752010382	-0.847520740803975	36.9132585261171	1.2350323284792e-09	1.09008444338224e-06
ENSG00000211658.2_2	2.77311672490254	1.74076714794001	36.3956380865001	1.61063269643435e-09	1.31303415314107e-06
ENSG00000251705.1	1.80085503307871	4.62216374336727	36.3808899041427	1.62286639588968e-09	1.31303415314107e-06
ENSG00000263934.4_2	1.38128285607188	0.730148344182258	36.0354328286599	1.93761903064946e-09	1.48362472660124e-06
ENSG00000203697.11_3	2.09900602681036	-1.63458689669295	35.9868665002763	1.98651987288249e-09	1.48362472660124e-06
ENSG00000206588.1	1.70571256732674	0.54618996047729	35.8503940015178	2.13064941551358e-09	1.53233149446084e-06
ENSG00000198756.10_2	1.48942716755076	-1.90411685133245	35.3515060331897	2.75255642671949e-09	1.90889788192996e-06
ENSG00000138311.15_3	1.07657395866928	-2.29226410714467	33.325731844537	7.79444387216566e-09	5.21905210723147e-06
ENSG00000132669.12_3	1.6860946663051	-2.04116296010403	32.6846153854398	1.08391758998841e-08	7.01583725413167e-06
ENSG00000169891.17_2	0.986759864121895	-2.35296825126992	30.4359235371579	3.45078244524652e-08	2.16152559747732e-05
ENSG00000150625.16_3	1.59110814126004	0.667402626073551	29.8926135784747	4.56649173513248e-08	2.75357097870997e-05
ENSG00000145431.10_3	2.82946418136206	-3.27579488962301	29.7893938467633	4.81619604919696e-08	2.75357097870997e-05
ENSG00000148513.17_3	4.86346766099728	-3.52753227828173	29.7873112136973	4.82137260666078e-08	2.75357097870997e-05
ENSG00000136999.4_2	1.86430317692076	-2.63151738487911	28.7191383497819	8.36727354174414e-08	4.64216336095965e-05
ENSG00000153956.15_3	2.1195498219628	-2.36708590379049	28.6144906998475	8.83187794798352e-08	4.76381683316511e-05
ENSG00000002726.20_4	-2.84029506212505	-1.39174823479025	27.026875993841	2.00646183817909e-07	0.000104061769262557
ENSG00000101307.15_3	1.41517676666331	-0.621572114213928	26.9982154634898	2.03643384075455e-07	0.000104061769262557
ENSG00000144820.7_3	-2.60110506303516	-1.99328593670721	26.1912654533078	3.09218020644964e-07	0.000153958859612408
ENSG00000002933.7_4	-2.5971486938701	-2.02426579569442	26.0088215041607	3.39860877768567e-07	0.000161013696291908
ENSG00000141668.9_2	2.51075344161309	-2.40392775121677	26.0081946798174	3.39971240496871e-07	0.000161013696291908
ENSG00000170927.14_2	1.92027863752726	-3.57684100746391	25.5162937010164	4.38662703483065e-07	0.000202808389910337
ENSG00000272505.1_4	1.21431641810242	-1.38229695956441	25.3406606183893	4.80473045325631e-07	0.000216972688235653
ENSG00000137809.16_4	1.05682487882337	-2.145471735436	25.2280053587918	5.09371516184111e-07	0.000224794911392342
ENSG00000089012.14_2	2.31377811666871	-1.49986908325361	25.0950630857837	5.45723955363879e-07	0.000235485950339018
ENSG00000264940.4_2	0.977208048969578	0.23503270593682	24.882374238255	6.09370299591594e-07	0.000257233749510208
