logFC	logCPM	LR	PValue	FDR
ENSG00000140955.10_3	3.94324411218006	-2.50753356174595	244.490938156889	4.12588867331335e-55	8.01165062583987e-51
ENSG00000156755.10_2	2.23504599958203	-2.42487372859465	63.4679848850662	1.62994451048984e-15	1.58251312523458e-11
ENSG00000164741.14_5	2.64164775828802	-2.35771543977998	50.8824263000788	9.80676979745072e-13	6.34759519756327e-09
ENSG00000253441.1_2	2.16602695191393	-2.62575567795824	32.6096776154488	1.12652424715359e-08	5.46871195780711e-05
ENSG00000114473.13_2	0.726499233593324	1.13822484603595	29.8783483021254	4.60021358457819e-08	0.000178653894770678
ENSG00000240382.3_3	2.34155893292102	4.39985789978161	28.9185204013835	7.54876799835432e-08	0.00024430329498674
ENSG00000156414.18_3	2.69977245663137	-2.76546004872701	26.5589073981118	2.55623401791973e-07	0.000709099316570933
ENSG00000013297.11_4	2.01790080903496	-3.36948373621561	25.4984268878159	4.42743764202925e-07	0.00107464980166155
ENSG00000211664.3_3	2.31653738609921	2.56151449769324	24.1050929656215	9.1218724013638e-07	0.00196809464766314
ENSG00000167523.13_3	0.394872798901265	1.21694730728739	20.71964386215	5.31677627043137e-06	0.0103241161619236
ENSG00000200434.1	-2.88800465177399	3.6232967877159	20.1895052453806	7.01366683438739e-06	0.0123810347809213
ENSG00000177721.4_3	0.649664437518684	0.0242079637524342	19.7595878014681	8.78200278585241e-06	0.0133275169120543
ENSG00000204019.4_2	4.8552124874522	-4.56624504819275	19.7292475702888	8.92253166426543e-06	0.0133275169120543
ENSG00000111879.18_5	1.66433863394518	-2.26747906946704	19.5725835296594	9.68490744331799e-06	0.0134329666238821
ENSG00000278473.1_2	1.55430328759522	0.465143474715273	18.8334635965382	1.42642395591992e-05	0.0184655335840353
ENSG00000256892.2_2	-1.07891995498138	-1.05264322815073	17.343715084838	3.11928127560648e-05	0.0376375087389276
ENSG00000147234.10_3	1.88620393507301	-3.65530901349596	17.1104988459293	3.52668125649248e-05	0.0376375087389276
ENSG00000143194.12_2	1.34958283282597	-3.06640300880841	17.0459429064251	3.64862447963801e-05	0.0376375087389276
ENSG00000187268.11_4	-3.23333335036136	-1.5314449374908	17.0282751123463	3.68273079637256e-05	0.0376375087389276
ENSG00000269900.3_2	-2.69811988416604	0.0155184587906887	16.9022074098918	3.93557888386511e-05	0.0382105353834463
