logFC	logCPM	LR	PValue	FDR
ENSG00000138755.5_2	2.91008947583994	-0.855970360578247	61.2142684081613	5.11892012423061e-15	9.939919097231e-11
ENSG00000165953.9_2	3.06431728807733	-3.92358595379709	55.8389788794013	7.86564519767161e-14	7.54197285163519e-10
ENSG00000183864.4_3	0.457737507955907	4.54748506955312	55.0664949843673	1.16520334508732e-13	7.54197285163519e-10
ENSG00000166664.13_3	2.80304292378549	-3.83278798020353	50.4853028474794	1.20060551017977e-12	5.8283394491677e-09
ENSG00000146453.12_4	2.54859719587506	-2.03631035732893	48.2897537101381	3.67668355104986e-12	1.32984980213593e-08
ENSG00000173218.14_2	1.01776203273345	2.43570610100529	48.0717104516714	4.10912494222659e-12	1.32984980213593e-08
ENSG00000144810.15_2	2.59013551585612	-3.23790803639233	47.7032354510572	4.95872591815229e-12	1.37555056969545e-08
ENSG00000173585.15_2	4.28734769775611	-3.1400083378596	47.4116731525925	5.75390202620292e-12	1.3966158693101e-08
ENSG00000170054.14_3	2.46396269154808	-1.09188006484144	46.9111848209278	7.42775955687949e-12	1.60258038972762e-08
ENSG00000178538.9_2	3.55900702180238	-3.54816553879821	46.4850138326908	9.23218332966503e-12	1.79270535895435e-08
ENSG00000165899.11_3	2.37869792454724	-3.0210918007583	46.0852829408751	1.13215733473076e-11	1.99856646598199e-08
ENSG00000254292.1_2	3.21899222954968	-2.43281471354348	45.8830960279607	1.2552443353358e-11	2.03119454196254e-08
ENSG00000154127.9_2	1.63581834292493	0.287906509970993	44.5993838077677	2.41767738035801e-11	3.61126610552245e-08
ENSG00000179348.11_3	2.4476974596747	-4.16376257249469	42.772365431483	6.14947665357915e-11	8.52932411851428e-08
ENSG00000256357.1_4	2.74005699570568	-3.80884513036118	42.5678811322778	6.82712887178945e-11	8.83794589549383e-08
ENSG00000185686.17_5	1.95532239483504	-1.4853071153904	42.2539778929975	8.0156805409012e-11	9.72803029645122e-08
ENSG00000148798.10_3	1.47497268293888	-1.6972204742359	39.8311328150443	2.76896064694442e-10	2.9717137653736e-07
ENSG00000163125.15_4	0.386590908798815	4.54379925629126	39.7822886073997	2.83908016809084e-10	2.9717137653736e-07
ENSG00000124422.11_3	0.375955068660564	6.38616687109879	39.7356153554036	2.90774341034599e-10	2.9717137653736e-07
ENSG00000145284.11_2	1.65571307822304	0.93860241278921	39.6033666370922	3.1114644867844e-10	3.02092087021898e-07
ENSG00000124782.19_5	0.452018160730188	4.21366597562877	39.3738501844532	3.49952228686281e-10	3.12330105978976e-07
ENSG00000121964.14_3	-0.391555986275222	3.29696628176997	39.283309016509	3.66561421217588e-10	3.12330105978976e-07
ENSG00000139718.10_3	0.607533466716018	3.23277872703938	39.2653684457156	3.69945022016502e-10	3.12330105978976e-07
ENSG00000260097.2_2	0.99095463642517	0.203028667838225	38.7136108245801	4.90774855244344e-10	3.80398786654976e-07
ENSG00000139182.13_2	0.472996153143258	3.91453978262699	38.7122309374887	4.91121928938513e-10	3.80398786654976e-07
ENSG00000145824.12_2	2.19429727169084	-2.49008503079107	38.6411368693234	5.09340223144988e-10	3.80398786654976e-07
ENSG00000111676.14_2	0.48394935643984	4.93513916619524	38.225612399948	6.30197880204315e-10	4.39976713063944e-07
ENSG00000077044.10_3	0.628311066650785	5.48998812882225	38.2125542124824	6.34429290647359e-10	4.39976713063944e-07
