logFC	logCPM	LR	PValue	FDR
ENSG00000188026.12_4	0.500853797217466	0.531243851492916	4.46526427760266	0.0345907383374539	0.224749258080581
ENSG00000111364.15_2	-0.255931891353901	3.72096154551861	3.81638017889647	0.0507537747213343	0.224749258080581
ENSG00000139697.13_1	-0.295319042456623	5.37479826929639	3.34462653678858	0.0674247774241744	0.224749258080581
ENSG00000111358.13_3	-0.203101372347143	4.1940926435379	2.50022632902319	0.113829938213585	0.281258824428482
ENSG00000150977.10_2	0.239112529860756	5.68622365526386	2.17105844970921	0.140629412214241	0.281258824428482
ENSG00000185344.13_2	-0.204032555173416	4.25229854834384	1.54756164245117	0.213495769766309	0.330003816090941
ENSG00000111361.12_2	-0.113371871209657	4.923312359479	1.43467695304797	0.231002671263659	0.330003816090941
ENSG00000184209.14_3	0.11919142202052	3.47004338912319	0.827194609154212	0.363084993407075	0.453856241758844
ENSG00000086598.10_2	-0.0989822241236478	6.27146292539193	0.311122664211766	0.576992089493057	0.641102321658953
ENSG00000168778.11_2	0.0927040990019317	1.89204346893039	0.213753475130645	0.643841241469076	0.643841241469076
